date,dist_m,mov_s,note
2024-10-16,2524.44,675,
2024-10-18,5022.88,1200,
2024-10-18,574.91,205,
2024-10-19,15039.3,4077,
2024-10-19,1208.07,389,
2024-10-20,26017.6,8245,LONG26k
2024-10-22,15034.7,4216,THRESHOLD
2024-10-24,15764.4,5178,
2024-10-26,10039.1,3395,
2024-10-27,34031.3,9671,LONG34k
2024-10-28,3011.53,980,
2024-10-29,15259.7,4207,THRESHOLD
2024-10-30,8021.17,2554,
2024-10-30,4004.56,1243,
2024-11-02,10515.7,2820,
2024-11-03,13507.8,4053,
2024-11-05,13026.8,3583,
2024-11-07,8009.72,2388,
2024-11-08,5051.2,1520,
2024-11-09,11133.6,3785,
2024-11-10,20009,5547,
2024-11-11,3008.44,868,
2024-11-12,10035.7,2850,
2024-11-14,6162.55,1591,
2024-11-16,11123,3803,
2024-11-17,11263.2,3134,
2024-11-19,6260.77,1701,
2024-11-24,42530.4,11600,RACE_Florence_marathon_PB
2024-11-30,5021.88,1658,
2024-12-03,5581.14,1556,
2024-12-07,5611.83,1600,
2024-12-10,5527.28,1497,
2024-12-12,5025.36,1436,
2024-12-13,6256.38,1871,
2024-12-14,10108.3,2971,
2024-12-15,1100.36,281,
2024-12-17,6023.91,1632,
2024-12-18,7517.2,2071,
2024-12-19,5019.48,1504,
2024-12-21,5027.9,1758,
2024-12-22,11002.2,3598,
2024-12-25,18037.8,4971,
2024-12-26,16019.4,5870,
2024-12-31,7182.96,2076,
2025-01-02,6020.74,1765,
2025-01-03,5576.16,1519,
2025-01-04,10474.2,3631,
2025-01-05,5030.84,1566,
2025-01-07,8282.21,2487,
2025-01-08,6018.54,1557,
2025-01-09,10357.5,3247,
2025-01-11,10021,3401,
2025-01-12,6024.59,1768,
2025-01-15,21103.3,6664,
2025-01-16,5302.65,1536,
2025-01-18,10460.6,3650,
2025-01-19,2506.65,772,
2025-01-19,2408.47,773,
2025-01-21,5511.1,1617,
2025-01-22,10069.9,3112,
2025-01-24,6903.41,2284,
2025-01-25,14070.1,5068,
2025-01-26,4027.44,1270,
2025-01-28,10125.4,2938,
2025-01-29,2065.83,698,
2025-01-29,5017.71,1081,5k_PB_1755_TRACK
2025-02-02,13549.2,4139,
2025-02-04,15379,4355,
2025-02-05,5011.79,1472,
2025-02-09,21183.5,6399,
2025-02-12,13021.9,3961,
2025-02-13,5009.93,1282,
2025-02-14,7069.14,2669,
2025-02-15,10097,2998,
2025-02-16,5734.16,1979,
2025-02-18,7007.15,2207,
2025-02-18,6011.78,1649,
2025-02-19,4005.18,1178,
2025-02-20,5610.41,1621,
2025-02-22,8038.11,2757,
2025-02-23,10033.4,2630,
2025-02-25,7019.27,2151,
2025-02-26,13039.1,4147,
2025-03-01,12397.2,3667,
2025-03-02,8503.04,2450,
2025-03-05,15023.1,4426,
2025-03-08,7075.51,2308,
2025-03-09,21178.9,7498,RACE_Cambridge_half_pacing
2025-03-11,10054.6,2717,
2025-03-12,7286.16,2028,
2025-03-14,5017.73,1616,
2025-03-14,5593.63,1561,
2025-03-15,13039.5,3442,
2025-03-18,7211.04,1911,
2025-03-19,14006,4202,
2025-03-20,5428.06,1548,
2025-03-22,10261.8,3184,
2025-03-23,7215.95,2111,
2025-03-25,8109.4,2404,
2025-03-30,12153.2,10932,HIKE_EXCLUDE
2025-04-01,10228.3,2996,
2025-04-02,12041,3604,
2025-04-05,31514.6,10019,LONG31k
2025-04-07,5536.8,1603,
2025-04-08,16612.6,4915,THRESHOLD
2025-04-10,7322.39,2349,
2025-04-12,6021.35,2050,
2025-04-13,15038.6,4556,
2025-04-15,13017.8,3829,
